network,fault_links,fault_count,total_inspection_count,output_dir
cost239-1,4-7;4-8,2,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__4-8
cost239-1,4-7;4-9,2,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__4-9
cost239-1,4-10;4-7,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__4-10
cost239-1,4-7;5-6,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__5-6
cost239-1,4-7;5-11,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__5-11
cost239-1,4-7;6-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__6-9
cost239-1,4-7;7-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__7-8
cost239-1,4-7;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__7-10
cost239-1,4-7;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__9-10
cost239-1,4-7;9-11,2,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__9-11
cost239-1,10-11;4-7,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7__10-11
cost239-1,4-8;4-9,2,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__4-9
cost239-1,4-10;4-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__4-10
cost239-1,4-8;5-6,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__5-6
cost239-1,4-8;5-11,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__5-11
cost239-1,4-8;6-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__6-9
cost239-1,4-8;7-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__7-8
cost239-1,4-8;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__7-10
cost239-1,4-8;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__9-10
cost239-1,4-8;9-11,2,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__9-11
cost239-1,10-11;4-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8__10-11
cost239-1,4-10;4-9,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__4-10
cost239-1,4-9;5-6,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__5-6
cost239-1,4-9;5-11,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__5-11
cost239-1,4-9;6-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__6-9
cost239-1,4-9;7-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__7-8
cost239-1,4-9;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__7-10
cost239-1,4-9;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__9-10
cost239-1,4-9;9-11,2,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__9-11
cost239-1,10-11;4-9,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9__10-11
cost239-1,4-10;5-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__5-6
cost239-1,4-10;5-11,2,22,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__5-11
cost239-1,4-10;6-9,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__6-9
cost239-1,4-10;7-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__7-8
cost239-1,4-10;7-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__7-10
cost239-1,4-10;9-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__9-10
cost239-1,4-10;9-11,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__9-11
cost239-1,10-11;4-10,2,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10__10-11
cost239-1,5-11;5-6,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6__5-11
cost239-1,5-6;6-9,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6__6-9
cost239-1,5-6;7-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6__7-8
cost239-1,5-6;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6__7-10
cost239-1,5-6;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6__9-10
cost239-1,5-6;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6__9-11
cost239-1,10-11;5-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6__10-11
cost239-1,5-11;6-9,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-11__6-9
cost239-1,5-11;7-8,2,22,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-11__7-8
cost239-1,5-11;7-10,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-11__7-10
cost239-1,5-11;9-10,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-11__9-10
cost239-1,5-11;9-11,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-11__9-11
cost239-1,10-11;5-11,2,22,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-11__10-11
cost239-1,6-9;7-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_6-9__7-8
cost239-1,6-9;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_6-9__7-10
cost239-1,6-9;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_6-9__9-10
cost239-1,6-9;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_6-9__9-11
cost239-1,10-11;6-9,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_6-9__10-11
cost239-1,7-10;7-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-8__7-10
cost239-1,7-8;9-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-8__9-10
cost239-1,7-8;9-11,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-8__9-11
cost239-1,10-11;7-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-8__10-11
cost239-1,7-10;9-10,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-10__9-10
cost239-1,7-10;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-10__9-11
cost239-1,10-11;7-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-10__10-11
cost239-1,9-10;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_9-10__9-11
cost239-1,10-11;9-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_9-10__10-11
cost239-1,10-11;9-11,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_9-11__10-11
cost239-1,1-2,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2
cost239-1,1-5,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5
cost239-1,1-6,1,8,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6
cost239-1,1-7,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7
cost239-1,1-9,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9
cost239-1,1-11,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11
cost239-1,2-3,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3
cost239-1,2-5,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-5
cost239-1,2-8,1,8,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-8
cost239-1,3-5,1,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_3-5
cost239-1,3-6,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_3-6
cost239-1,3-7,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_3-7
cost239-1,3-8,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_3-8
cost239-1,4-6,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-6
cost239-1,4-7,1,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-7
cost239-1,4-8,1,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-8
cost239-1,4-9,1,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-9
cost239-1,4-10,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_4-10
cost239-1,5-6,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-6
cost239-1,5-11,1,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_5-11
cost239-1,6-9,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_6-9
cost239-1,7-8,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-8
cost239-1,7-10,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_7-10
cost239-1,9-10,1,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_9-10
cost239-1,9-11,1,9,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_9-11
cost239-1,10-11,1,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_10-11
cost239-1,1-2;1-5,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__1-5
cost239-1,1-2;1-6,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__1-6
cost239-1,1-2;1-7,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__1-7
cost239-1,1-2;1-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__1-9
cost239-1,1-11;1-2,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__1-11
cost239-1,1-2;2-3,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__2-3
cost239-1,1-2;2-5,2,23,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__2-5
cost239-1,1-2;2-8,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__2-8
cost239-1,1-2;3-5,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__3-5
cost239-1,1-2;3-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__3-6
cost239-1,1-2;3-7,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__3-7
cost239-1,1-2;3-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__3-8
cost239-1,1-2;4-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__4-6
cost239-1,1-2;4-7,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__4-7
cost239-1,1-2;4-8,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__4-8
cost239-1,1-2;4-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__4-9
cost239-1,1-2;4-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__4-10
cost239-1,1-2;5-6,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__5-6
cost239-1,1-2;5-11,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__5-11
cost239-1,1-2;6-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__6-9
cost239-1,1-2;7-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__7-8
cost239-1,1-2;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__7-10
cost239-1,1-2;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__9-10
cost239-1,1-2;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__9-11
cost239-1,1-2;10-11,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-2__10-11
cost239-1,1-5;1-6,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__1-6
cost239-1,1-5;1-7,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__1-7
cost239-1,1-5;1-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__1-9
cost239-1,1-11;1-5,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__1-11
cost239-1,1-5;2-3,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__2-3
cost239-1,1-5;2-5,2,23,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__2-5
cost239-1,1-5;2-8,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__2-8
cost239-1,1-5;3-5,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__3-5
cost239-1,1-5;3-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__3-6
cost239-1,1-5;3-7,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__3-7
cost239-1,1-5;3-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__3-8
cost239-1,1-5;4-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__4-6
cost239-1,1-5;4-7,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__4-7
cost239-1,1-5;4-8,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__4-8
cost239-1,1-5;4-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__4-9
cost239-1,1-5;4-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__4-10
cost239-1,1-5;5-6,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__5-6
cost239-1,1-5;5-11,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__5-11
cost239-1,1-5;6-9,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__6-9
cost239-1,1-5;7-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__7-8
cost239-1,1-5;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__7-10
cost239-1,1-5;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__9-10
cost239-1,1-5;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__9-11
cost239-1,1-5;10-11,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-5__10-11
cost239-1,1-6;1-7,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__1-7
cost239-1,1-6;1-9,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__1-9
cost239-1,1-11;1-6,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__1-11
cost239-1,1-6;2-3,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__2-3
cost239-1,1-6;2-5,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__2-5
cost239-1,1-6;2-8,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__2-8
cost239-1,1-6;3-5,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__3-5
cost239-1,1-6;3-6,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__3-6
cost239-1,1-6;3-7,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__3-7
cost239-1,1-6;3-8,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__3-8
cost239-1,1-6;4-6,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__4-6
cost239-1,1-6;4-7,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__4-7
cost239-1,1-6;4-8,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__4-8
cost239-1,1-6;4-9,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__4-9
cost239-1,1-6;4-10,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__4-10
cost239-1,1-6;5-6,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__5-6
cost239-1,1-6;5-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__5-11
cost239-1,1-6;6-9,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__6-9
cost239-1,1-6;7-8,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__7-8
cost239-1,1-6;7-10,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__7-10
cost239-1,1-6;9-10,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__9-10
cost239-1,1-6;9-11,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__9-11
cost239-1,1-6;10-11,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-6__10-11
cost239-1,1-7;1-9,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__1-9
cost239-1,1-11;1-7,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__1-11
cost239-1,1-7;2-3,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__2-3
cost239-1,1-7;2-5,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__2-5
cost239-1,1-7;2-8,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__2-8
cost239-1,1-7;3-5,2,22,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__3-5
cost239-1,1-7;3-6,2,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__3-6
cost239-1,1-7;3-7,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__3-7
cost239-1,1-7;3-8,2,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__3-8
cost239-1,1-7;4-6,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__4-6
cost239-1,1-7;4-7,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__4-7
cost239-1,1-7;4-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__4-8
cost239-1,1-7;4-9,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__4-9
cost239-1,1-7;4-10,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__4-10
cost239-1,1-7;5-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__5-6
cost239-1,1-7;5-11,2,22,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__5-11
cost239-1,1-7;6-9,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__6-9
cost239-1,1-7;7-8,2,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__7-8
cost239-1,1-7;7-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__7-10
cost239-1,1-7;9-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__9-10
cost239-1,1-7;9-11,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__9-11
cost239-1,1-7;10-11,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-7__10-11
cost239-1,1-11;1-9,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__1-11
cost239-1,1-9;2-3,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__2-3
cost239-1,1-9;2-5,2,23,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__2-5
cost239-1,1-9;2-8,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__2-8
cost239-1,1-9;3-5,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__3-5
cost239-1,1-9;3-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__3-6
cost239-1,1-9;3-7,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__3-7
cost239-1,1-9;3-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__3-8
cost239-1,1-9;4-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__4-6
cost239-1,1-9;4-7,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__4-7
cost239-1,1-9;4-8,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__4-8
cost239-1,1-9;4-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__4-9
cost239-1,1-9;4-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__4-10
cost239-1,1-9;5-6,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__5-6
cost239-1,1-9;5-11,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__5-11
cost239-1,1-9;6-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__6-9
cost239-1,1-9;7-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__7-8
cost239-1,1-9;7-10,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__7-10
cost239-1,1-9;9-10,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__9-10
cost239-1,1-9;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__9-11
cost239-1,1-9;10-11,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-9__10-11
cost239-1,1-11;2-3,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__2-3
cost239-1,1-11;2-5,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__2-5
cost239-1,1-11;2-8,2,16,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__2-8
cost239-1,1-11;3-5,2,22,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__3-5
cost239-1,1-11;3-6,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__3-6
cost239-1,1-11;3-7,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__3-7
cost239-1,1-11;3-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__3-8
cost239-1,1-11;4-6,2,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__4-6
cost239-1,1-11;4-7,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__4-7
cost239-1,1-11;4-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__4-8
cost239-1,1-11;4-9,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__4-9
cost239-1,1-11;4-10,2,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__4-10
cost239-1,1-11;5-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__5-6
cost239-1,1-11;5-11,2,22,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__5-11
cost239-1,1-11;6-9,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__6-9
cost239-1,1-11;7-8,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__7-8
cost239-1,1-11;7-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__7-10
cost239-1,1-11;9-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__9-10
cost239-1,1-11;9-11,2,17,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__9-11
cost239-1,1-11;10-11,2,11,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_1-11__10-11
cost239-1,2-3;2-5,2,23,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__2-5
cost239-1,2-3;2-8,2,18,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__2-8
cost239-1,2-3;3-5,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__3-5
cost239-1,2-3;3-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__3-6
cost239-1,2-3;3-7,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__3-7
cost239-1,2-3;3-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__3-8
cost239-1,2-3;4-6,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__4-6
cost239-1,2-3;4-7,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__4-7
cost239-1,2-3;4-8,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__4-8
cost239-1,2-3;4-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__4-9
cost239-1,2-3;4-10,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__4-10
cost239-1,2-3;5-6,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__5-6
cost239-1,2-3;5-11,2,24,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__5-11
cost239-1,2-3;6-9,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__6-9
cost239-1,2-3;7-8,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__7-8
cost239-1,2-3;7-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__7-10
cost239-1,2-3;9-10,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__9-10
cost239-1,2-3;9-11,2,19,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__9-11
cost239-1,10-11;2-3,2,21,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-3__10-11
cost239-1,2-5;2-8,2,14,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-5__2-8
cost239-1,2-5;3-5,2,13,/home/shirata.mikoto.qg/workspace/auto_run/batch_output/f_2-5__3-5
